tool;sample_id;recall;precision;f1_score
greedy_putative;35;0.5988825279187082;1.0;0.7491263647721306
greedy_questionable;35;0.09260036621818209;0.01283299788447958;0.022542016256312653
plasmidSPAdes;35;0.4075805716188146;0.7711627906976745;0.5332983940219668
mob_recon;35;0.4433556007498064;1.0;0.6143400843416389
greedy_putative;36;0.9378803245436106;0.885529718074208;0.9109535211159577
greedy_questionable;36;0.10903612107973162;0.029343400929047254;0.046242255648024685
plasmidSPAdes;36;1.0;0.43424877662752953;0.605541777276067
mob_recon;36;0.8540626462786706;0.9443826834033092;0.8969546756584555
greedy_putative;37;0.9990619381400317;1.0;0.9995307489767721
greedy_questionable;37;0.0;0.0;0
plasmidSPAdes;37;0.9995179404330718;0.6015589609010107;0.7510806921864094
mob_recon;37;0.9989446804075358;1.0;0.9994720616319162
greedy_putative;38;0.5670382633413529;1.0;0.7237069784528077
greedy_questionable;38;0.03049792366387969;0.014475307162252276;0.019632425989242645
plasmidSPAdes;38;0.5589234812573942;0.7680532335020024;0.647009073008148
mob_recon;38;0.5811716411392456;0.41069022351202383;0.4812797420782882
greedy_putative;39;0.7433244399122672;0.8934370280394929;0.8114970830727181
greedy_questionable;39;0.11897551305662633;0.030903112374058066;0.049062548301132325
plasmidSPAdes;39;0.44140671358056166;0.957690097495885;0.6042910472207605
mob_recon;39;0.7854370596328057;0.6422157463735048;0.7066424628723962
greedy_putative;40;0.6364794996458395;1.0;0.7778643115096571
greedy_questionable;40;0.35490500305975436;0.07782012216686329;0.12765032158129097
plasmidSPAdes;40;0.34228050478719046;1.0;0.5099984743374586
mob_recon;40;0.46655953511007886;1.0;0.6362640233013919
greedy_putative;41;0.8550601219470655;0.8530599758515575;0.8540588778503879
greedy_questionable;41;0.044431808951344326;0.014227509007352788;0.021553403076160504
plasmidSPAdes;41;0.8758885968750737;0.8987126690772733;0.8871538568293608
mob_recon;41;0.7301442979134841;0.9905775528431081;0.8406524872471083
greedy_putative;42;0.941832862613276;0.9985548771332766;0.9693648121377261
greedy_questionable;42;0.06790497808119487;0.014835329196861943;0.024350712175984068
plasmidSPAdes;42;0.3765702701297801;0.7755727855201815;0.5069815799634039
mob_recon;42;0.5413627201266035;0.9999781501955558;0.7024414934820826
greedy_putative;44;0.694927880462947;0.7461221072774024;0.7196156399680107
greedy_questionable;44;0.12191224736569356;0.4617243329391805;0.1928934991108238
plasmidSPAdes;44;0.7715278977370876;0.37632991655806897;0.5058972039248777
mob_recon;44;0.15262782864052513;1.0;0.2648345369563792
greedy_putative;45;0.8471128396262086;0.7835713572355937;0.8141041150150543
greedy_questionable;45;0.021239129260519636;0.048670594642768725;0.029573026271256547
plasmidSPAdes;45;0.8088802463134014;0.331492870844622;0.47026368998977036
mob_recon;45;0.21865715983363043;0.20539070342959867;0.2118164092258115
greedy_putative;46;0.5612013477904013;0.991113000135237;0.7166254080325333
greedy_questionable;46;0.3011793166011491;1.0;0.46293283755519404
plasmidSPAdes;46;0.8157695796794678;0.34145961778742756;0.4814126181567071
mob_recon;46;0.2130113611819085;0.06471867705459726;0.09927491877239844
greedy_putative;47;0.8212533295948409;0.9983868449810064;0.9011985249836141
